Código (SKU)	Descrição	Valor unitário	Unidade	NCM	Origem
185ff0ff	Refrigerante Cola 350ml	6,50	UN	19059090	0
90532da0	Suco Natural de Laranja	9,00	UN	19059090	0
60406970	Hambúrguer Artesanal Premium	35,90	UN	19059090	0
16cf1a78	BATATA	30,00	UN	19059090	0
62bb42e5	Sobremesa Especial	15,90	UN	19059090	0
ea1171e9	TÁBUA DE FRIOS	60,00	UN	2106.90.90	0
4692d7ef	NHOQUE FRITO	35,00	UN	1902.30.00	0
71918e6d	ARANCINI	42,00	UN	2106.90.90	0
26973f18	BRUSCHETTA DE TOMATE CONFIT	36,00	UN	1905.90.90	0
37ae9174	PASTEL DE COSTELA	40,00	UN	1905.90.90	0
50b58ac9	PASTEL DE RAGU DE LINGUIÇA	36,00	UN	1905.90.90	0
d763529e	STEAK COM FRITAS	85,00	UN	1602.50.00	0
427a71eb	Altezza Cabernet Sauvignon (Reserva)	89,00	UN	2204.21.00	0
f37c1c58	Bianco Merlot	45,00	UN	2204.21.00	0
ac6d6357	Bianco Malbec	45,00	UN	2204.21.00	0
03a9ae21	Bianco Moscatel Espumante	45,00	UN	2204.10.10	0
1a279506	Fiorella Rosé Demi-Sec	45,00	UN	2204.21.00	0
b10fcabb	Famíglia Bianco Goethe	38,00	UN	2204.21.00	0
b247f876	Bianco Estações Pinot Noir	45,00	UN	2204.21.00	0
32744f0c	Fiorella Branco Demi-Sec	45,00	UN	2204.21.00	0
210bd4a9	Bianco Brut Chardonnay	50,00	UN	2204.10.10	0
2bc659bd	Altezza Rosé	49,00	UN	2204.21.00	0
